id,category,url,local_filename,animal,breed,age,diagnosis_category,diagnosis,grade,description,source_page
cb-sinus-arrhythmia,arrhythmia,https://soundcloud.com/cliniciansbrief/sets/sinus-arrhythmia/s-OttqR,sinus-arrhythmia.mp3,dog,,,arrhythmia,Sinus Arrhythmia Sound Library,,"Overview of Sinus Arrhythmia A normal S1 and S2 with a regularly irregular rhythm is consistent with sinus arrhythmia. This is still a sinus rhythm; however, it is irregular with a pattern that increases for a few beats and decreases for a few beats (regularly irregular). The heart rate sometimes varies with respiration, increasing on inspiration and decreasing on expiration; however, this pattern is not consistently present since it is mediated both centrally and by cardiovascular and respiratory reflexes. A sinus arrhythmia can occur without the influence of respiration. A respiratory sinus arrhythmia occurs because of fluctuations in autonomic tone. On inspiration, the right atrium fills, and this stretch induces the Bainbridge reflex (increases heart rate through a reflex inhibition of vagal tone and an increase in sympathetic tone); pulmonary stretch receptors also play a role. As a result of this increase in heart rate (caused by the increase in sympathetic tone and decrease in vagal tone), blood pressure increases, thereby activating the baroreceptor arc, which increases vagal tone. This slows the heart rate during expiration. Again, this is not always associated with respiration, as autonomic tone is also modulated centrally; in fact, most sinus arrhythmias occur without the influence of respiration. Sound Library",https://www.cliniciansbrief.com/cardiac-library/heart-sound/sinus-arrhythmia
cb-sinus-arrhythmia-mitral-insufficiency,acquired_valvular_disease,https://soundcloud.com/cliniciansbrief/sets/sinus-arrhythmia-with-mitral/s-2KBO9,sinus-arrhythmia-mitral-insufficiency.mp3,dog,,,acquired_valvular_disease,Sinus Arrhythmia with Mitral Insufficiency,3/6,"A grade 3/6 (or III/VI) systolic murmur is auscultated over the left apex region in this heart sound; the murmur is plateau (band-shaped) and occurs throughout systole, making it difficult to identify S1 or S2 sounds. There is also a regularly irregular rhythm consistent with a sinus arrhythmia.",https://www.cliniciansbrief.com/cardiac-library/heart-sound/sinus-arrhythmia-mitral-insufficiency
cb-sinus-pauses,arrhythmia,https://soundcloud.com/cliniciansbrief/sets/sinus-pauses/s-ksY5p,sinus-pauses.mp3,dog,,,arrhythmia,Sinus Pauses,,"A normal sinus rhythm followed by a prolonged pause is appreciated in this heart sound. This pause could be an exaggerated sinus arrhythmia, but it could also be consistent with sick sinus syndrome. An ECG with an atropine challenge test should be performed if there is any history of exercise intolerance, weakness, or syncope.",https://www.cliniciansbrief.com/cardiac-library/heart-sound/sinus-pauses
cb-split-s2-heart-sounds,other,https://soundcloud.com/cliniciansbrief/sets/split-s2-heart-sounds/s-2ZlS9,split-s2-heart-sounds.mp3,dog,,,other,Split S2 Heart Sounds,,"A split S2 sound is appreciated in this recording. The second heart sound is associated with closure of the semilunar valves (aortic and pulmonic) at the end of systole, following the T wave on ECG. In dogs and cats, pulmonic valve (P2) closure follows aortic valve (A2) closure by a very short interval; this causes S2 to be heard as a single sound. On occasion, an audible split second heart sound may be auscultated in healthy, large-breed dogs during inspiration because of a longer right ventricular ejection period. Pathologic splitting of S2 resulting from delayed closure of the pulmonic valve is most commonly auscultated in dogs with pulmonary hypertension (typically heartworm disease, as in these two cases). Additional causes of split S2 from the delayed closure of P2 include left-to right intracardiac shunts (atrial septal defects), pulmonic stenosis, right bundle branch blocks, ectopic beats, and ventricular pacing. Paradoxic splitting of S2 results from delayed closure of the aortic valve sometimes noted in left bundle branch block, ectopic beats, aortic stenosis, and possibly systemic hypertension (as seen in humans).",https://www.cliniciansbrief.com/cardiac-library/heart-sound/split-s2-heart-sounds
cb-supraventricular-tachycardia-and-mitral-insufficiency-and-gallop,arrhythmia,https://soundcloud.com/cliniciansbrief/sets/supraventricular-tachycardia/s-eDDYq,supraventricular-tachycardia-and-mitral-insufficiency-and-gallop.mp3,dog,Labrador,9-year-old,arrhythmia,Supraventricular Tachycardia and with Mitral Insufficiency and a Gallop,,"This heart sound demonstrates a regular and rapid heart rate (approximately 210-220 bpm) in a 9-year-old Labrador with a supraventricular tachycardia. An S3 gallop sound, as well as a murmur associated with mitral insufficiency, is also audible. In addition to development of the SVT, likely due to atrial enlargement, this patient also had degenerative mitral valve disease and volume overload. It would be impossible to distinguish a supraventricular versus ventricular tachycardia based on auscultation alone; thus an ECG would give a definitive diagnosis.",https://www.cliniciansbrief.com/cardiac-library/heart-sound/supraventricular-tachycardia-and-mitral-insufficiency-and-gallop
cb-systolic-click,other,https://soundcloud.com/cliniciansbrief/sets/systolic-click/s-nMToO,systolic-click.mp3,dog,,,other,Systolic Click,,"An “extra” sound is auscultated in between closure of the AV valves (S1) and closure of the semilunar valves (S2) in this heart sound. It is often difficult to differentiate this from a gallop sound at first auscultation, but the sound is a click that occurs during systole in between the S1 and S2 sounds. A gallop sound would be heard during diastole. The genesis of the sound in dogs is uncertain, but is likely caused by the sudden tensing of redundant valve leaflets or elongated chordae tendineae as they buckle into the left atrium. The systolic click needs to be differentiated from a split or gallop heart sound, utilizing the timing of the additional sound as the differentiating factor.",https://www.cliniciansbrief.com/cardiac-library/heart-sound/systolic-click
cb-systolic-click-intermittent-mitral-regurgitation,other,https://soundcloud.com/cliniciansbrief/sets/systolic-click-with/s-53lEK,systolic-click-intermittent-mitral-regurgitation.mp3,dog,,,other,Systolic Click with Intermittent Mitral Regurgitation,2/6,"An “extra” sound is auscultated in between closure of the AV valves (S1) and closure of the semilunar valves (S2), along with an intermittent grade 2/6 systolic murmur (over the left apex) that is plateau shaped and caused by mild mitral insufficiency. It is often hard to differentiate this from a gallop sound at first auscultation, but the sound is a click that occurs during systole in between the S1 and S2 sounds. A gallop sound would be heard during diastole. The genesis of the sound in dogs is uncertain, but it is likely caused by the sudden tensing of redundant valve leaflets or elongated chordae tendineae as they buckle into the left atrium. The systolic click needs to be differentiated from a split or gallop heart sound, utilizing the timing the additional sound as the differentiating factor.",https://www.cliniciansbrief.com/cardiac-library/heart-sound/systolic-click-intermittent-mitral-regurgitation
cb-third-degree-atrioventricular-block,arrhythmia,https://soundcloud.com/cliniciansbrief/sets/third-degree-atrioventricular/s-iPmbn,third-degree-atrioventricular-block.mp3,dog,,,arrhythmia,Third-Degree Atrioventricular Block,,"Normal-rate atrial contractions are followed by a slower ventricular escape rate in this dog with third-degree atrioventricular (AV) block. Typically, atrial contractions are not auscultated this clearly in cases of third-degree AV block; however, atrial contractions are heard very well in this patient (a lean Boxer dog).",https://www.cliniciansbrief.com/cardiac-library/heart-sound/third-degree-atrioventricular-block
cb-tricuspid-insufficiency-murmur,acquired_valvular_disease,https://soundcloud.com/cliniciansbrief/sets/tricuspid-insufficiency-murmur/s-ja9r5,tricuspid-insufficiency-murmur.mp3,dog,,,acquired_valvular_disease,Tricuspid Insufficiency Murmur,2/6,"A grade 2/6 systolic murmur (auscultated over the tricuspid valve area) is heard in this heart sound; it is plateau (band shaped) and occurs throughout systole, making it difficult to identify S1 or S2 sounds. Tricuspid insufficiency murmur sounds similar to the murmur of mitral insufficiency, and it is loudest over the right apex (tricuspid valve area). The tricuspid murmur might be a different pitch compared with a radiating mitral murmur; it can be accompanied by jugular pulsations. Tricuspid insufficiency can be the result of: Congenital malformations of the valve Acquired or congenital diseases that cause marked right heart enlargement Valve annulus distention (eg, pulmonary hypertension, arrhythmogenic right ventricular cardiomyopathy) Chronic degenerative valve disease",https://www.cliniciansbrief.com/cardiac-library/heart-sound/tricuspid-insufficiency-murmur
cb-tricuspid-insufficiency-murmur-pulmonary-hypertension,acquired_valvular_disease,https://soundcloud.com/cliniciansbrief/sets/tricuspid-insufficiency/s-BnoJF,tricuspid-insufficiency-murmur-pulmonary-hypertension.mp3,dog,Maltese,11-year-old,acquired_valvular_disease,Tricuspid Insufficiency Murmur with Pulmonary Hypertension,,"In this heart sound, a grade 2 systolic murmur is audible. It was ausculted over the right AV valve region. The murmur is a plateau (band-shaped) and occurs throughout systole, making it difficult to identify S1 or S2. This 11-year-old Maltese had severe tracheal collapse and secondary pulmonary hypertension. The murmur was likely caused by degenerative changes to the tricuspid valve. However, because of the presence of pulmonary hypertension, the tricuspid insufficiency murmur was of higher than normal velocity and easier to auscult over the right AV valve than most patients with degenerative tricuspid valve disease.",https://www.cliniciansbrief.com/cardiac-library/heart-sound/tricuspid-insufficiency-murmur-pulmonary-hypertension
cb-valvular-aortic-stenosis-and-aortic-insufficiency,congenital,https://soundcloud.com/cliniciansbrief/sets/valvular-aortic-stenosis-and/s-jKZjCiDNL8q,valvular-aortic-stenosis-and-aortic-insufficiency.mp3,dog,boxer,4-year-old,congenital,Valvular Aortic Stenosis and Aortic Insufficiency,4/6,"In this heart sound, a combination of a grade 4/6 harsh ejection type (crescendo) systolic murmur as well as a grade 4/6 diastolic decrescendo murmur (ausculted over the left heart base) is audible. These murmurs in a 4-year-old boxer with congenital aortic valve stenosis are caused by severe valvular stenosis and severe aortic insufficiency. The combination of a systolic murmur (due to aortic valve stenosis and obstruction) along with a diastolic murmur (due to the aortic valve being malformed and leaking during diastole) creates what is called a ‘to-fro’ murmur. Compare this sound to the continuous sound of a patent ductus arteriosus to appreciate the differences between them.",https://www.cliniciansbrief.com/cardiac-library/heart-sound/valvular-aortic-stenosis-and-aortic-insufficiency
cb-ventricular-premature-contractions,arrhythmia,https://soundcloud.com/cliniciansbrief/sets/ventricular-premature/s-a0Ev7,ventricular-premature-contractions.mp3,dog,,,arrhythmia,Ventricular Premature Contractions,,"A normal sinus rhythm followed by a run of extra systoles (caused by runs of ventricular premature contractions [VPCs]) is appreciated in this sound; there is no murmur in this recording, only an arrhythmia.",https://www.cliniciansbrief.com/cardiac-library/heart-sound/ventricular-premature-contractions
cb-ventricular-septal-defect,congenital,https://soundcloud.com/cliniciansbrief/sets/ventricular-septal-defect/s-dLSiW,ventricular-septal-defect.mp3,dog,,,congenital,Ventricular Septal Defect,4/6,"A grade 4/6 high-frequency systolic murmur (best heard on the right cranial thorax) is auscultated in this heart sound, resulting from a ventricular septal defect (VSD). VSD murmurs vary tremendously in shape and quality; however, they are often harsh, mid- to high-frequency systolic murmurs best heard on the right cranial thorax. Murmur intensity may be reduced with large VSD murmurs. Patients with large VSD murmurs can develop severe pulmonary hypertension, causing the murmur to be absent. Splitting of the second heart sound may also be appreciated.",https://www.cliniciansbrief.com/cardiac-library/heart-sound/ventricular-septal-defect
